_id,property_type,room_type,bed_type,minimum_nights,maximum_nights,cancellation_policy,last_scraped,accommodates,bedrooms,beds,number_of_reviews,bathrooms,price,security_deposit,cleaning_fee,extra_people,guests_included,amenities_count,administrative_division,region,country,longitude,latitude,annual_availability,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,review_scores_rating,host_id,host_response_rate,host_total_listings_count,superhost,host_neighbourhood
4964534,House,Private room,Real Bed,2,1125,Strict_14,2019-02-11,2,1,1,47,1,131.0,300.0,94.0748,50,1,19,Rio de Janeiro,Rio De Janeiro,Brazil,-43.19422109364074,-22.942947850019745,347,10.0,10.0,10.0,10.0,10.0,10.0,95.0,12878407,100.0,16,True,Laranjeiras
4974771,Apartment,Private room,Real Bed,3,30,moderate,2019-02-11,2,1,1,1,1,93.0,365.0,25.0,60,1,13,Rio de Janeiro,Rio De Janeiro,Brazil,-43.183030059163414,-22.91708439783365,0,10.0,10.0,10.0,10.0,10.0,10.0,100.0,25643776,0.0,2,False,
4987188,Apartment,Entire home/apt,Real Bed,3,90,Strict_14,2019-02-11,3,1,2,12,1,194.0,600.0,130.0,0,1,20,Rio de Janeiro,Rio De Janeiro,Brazil,-43.18818960438212,-22.972908704965956,139,10.0,10.0,10.0,10.0,10.0,9.0,98.0,19982033,100.0,2,True,Lapa
4995138,Apartment,Entire home/apt,Real Bed,4,1125,super_strict_60,2019-02-11,6,3,3,0,2,601.25,625.0,197.5,0,1,15,Rio de Janeiro,Rio De Janeiro,Brazil,-43.18073167675713,-22.967602566301853,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,22805631,91.0,153,False,Copacabana
5008643,Apartment,Private room,Real Bed,3,1125,Strict_14,2019-02-16,2,1,1,42,1,25.0,0.0,10.0,5,1,53,Matosinhos,Grande Porto,Portugal,-8.67484,41.17878,342,10.0,10.0,10.0,10.0,10.0,10.0,100.0,25831854,100.0,2,True,
501382,Apartment,Private room,Real Bed,3,40,moderate,2019-03-07,2,1,1,60,1,100.0,300.0,60.0,20,2,16,Kensington,New South Wales,Australia,151.22421,-33.90264,0,9.0,10.0,10.0,9.0,9.0,9.0,94.0,2473959,100.0,1,False,Randwick
501693,Apartment,Private room,Real Bed,1,120,moderate,2019-03-07,2,1,1,258,1,99.0,250.0,40.0,0,2,21,New York,New York,United States,-73.9624,40.7952,187,9.0,9.0,10.0,10.0,10.0,9.0,89.0,1490833,98.0,2,False,Upper West Side
5018276,Apartment,Entire home/apt,Real Bed,3,1125,Strict_14,2019-02-11,6,2,3,1,1,336.0,625.0,197.5,93,3,10,Rio de Janeiro,Rio De Janeiro,Brazil,-43.20359812683914,-22.9606390215596,316,10.0,10.0,10.0,10.0,10.0,10.0,100.0,153721,90.0,38,False,Flamengo
5020358,Boutique hotel,Private room,Real Bed,1,365,moderate,2019-02-18,2,1,1,18,1,100.0,0.0,30.0,0,2,21,Beyoğlu,Istanbul,Turkey,28.98026,41.0366,365,8.0,8.0,9.0,10.0,9.0,8.0,81.0,25376581,100.0,6,False,Taksim
5029573,Apartment,Private room,Real Bed,1,35,flexible,2019-03-06,1,1,1,0,1,60.0,0.0,94.0748,0,1,9,Brooklyn,New York,United States,-73.96514,40.67824,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,25961456,0.0,1,False,Prospect Heights
5037632,Apartment,Entire home/apt,Real Bed,2,1125,moderate,2019-03-08,4,2,3,120,1,97.0,150.0,60.0,10,1,41,Barcelona,Catalonia,Spain,2.15593,41.40772,181,10.0,10.0,10.0,10.0,10.0,10.0,98.0,3123210,100.0,2,False,
